trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
828,False,"{'a': 0.5, 'e': 0.0002431874320340402}",35,15,39.67066916189018,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
829,False,"{'a': 0.5, 'e': 0.00024075555771369982}",25,17,16.85947692024411,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
830,False,"{'a': 0.5, 'e': 0.0002383480021365628}",20,6,21.837902634650803,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
831,False,"{'a': 0.5, 'e': 0.00023596452211519718}",20,10,15.194847880956976,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
832,False,"{'a': 0.5, 'e': 0.0002336048768940452}",25,17,14.554315667149885,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
833,False,"{'a': 0.5, 'e': 0.00023126882812510475}",25,11,22.580866428135838,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
834,False,"{'a': 0.5, 'e': 0.0002289561398438537}",20,11,18.50046639791072,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
835,False,"{'a': 0.5, 'e': 0.00022666657844541514}",20,13,14.53335975488644,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
836,False,"{'a': 0.5, 'e': 0.000224399912660961}",30,23,14.414504714851741,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
837,False,"{'a': 0.5, 'e': 0.00022215591353435139}",25,15,17.190944774578313,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
838,False,"{'a': 0.5, 'e': 0.0002199343543990079}",25,16,15.069746198824362,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
839,False,"{'a': 0.5, 'e': 0.0002177350108550178}",20,14,9.593732004005085,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
840,False,"{'a': 0.5, 'e': 0.00021555766074646761}",25,10,27.414472934527005,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
